6,10,7,270,
lib_materials:stone,lib_materials:stone_brick,lib_materials:stone_block,lib_materials:stone_cobble,lib_materials:stone_cobble_small,lib_materials:stone_rockwall,lib_materials:stone_gravel,lib_materials:glass,lib_ecology:tree_default_trunk,lib_ecology:tree_default_wood,
##
sssss,sssss,sssss,sssss,sssss,sssss,
K2m00,S2m00,S2m00,S2m00,S2m00,K2m00,
K2m00,S2m00,S2m00,S2m00,S2m00,K2m00,
K2m00,K2m00,K2m00,S2m00,S2m00,K2m00,
_____,_____,K2m00,S2m00,S2m00,K2m00,
_____,_____,K2m00,S2m00,S2m00,K2m00,
_____,_____,K2m00,S2m00,S2m00,K2m00,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
sssss,S2m00,S2m00,S2m00,S2m00,sssss,
S2m00,_____,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,_____,S2m00,
S2m00,S2L00,S2m00,S2L00,S2L00,S2m00,
_____,_____,_____,_____,_____,S2m00,
_____,_____,_____,_____,_____,S2m00,
_____,TwN00,S2m00,S2L00,S2L00,S2m00,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
sssss,S2m00,S2m00,S2m00,S2m00,sssss,
S2m00,_____,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,_____,S2m00,
S2m00,S2L00,S2m00,S2L00,S2L00,S2m00,
_____,Ld0N0,S2m00,_____,_____,S2m00,
_____,Ld0N0,S2m00,_____,_____,S2m00,
_____,Ld0N0,S2L00,S2L00,S2L00,S2m00,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
sssss,S2m00,sssss,S2m00,S2m00,sssss,
S2m00,_____,K2m00,_____,_____,S2m00,
S2m00,_____,K2m00,_____,_____,S2m00,
S2m00,S2L00,K2m00,S2m00,S2m00,K2m00,
_____,_____,K2m00,S2m00,S2m00,K2m00,
_____,_____,K2m00,S2m00,S2m00,K2m00,
_____,_____,K2m00,S2m00,S2m00,K2m00,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
sssss,S2m00,S2m00,S2m00,S2m00,sssss,
S2m00,_____,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,_____,S2m00,
S2m00,S2L00,S2L00,S2L00,S2L00,K2m00,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
sssss,sssss,sssss,S2m00,sssss,sssss,
K2m00,S2m00,S2m00,_____,S2m00,K2m00,
K2m00,S2m00,S2m00,_____,S2m00,K2m00,
K2m00,S2L00,S2m00,S2m00,S2m00,K2m00,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,
_____,Ld0W0,_____,_____,_____,_____,
_____,Ld0W0,_____,_____,_____,_____,
_____,Ld0W0,_____,TwW00,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
