13,9,8,270,
lib_materials:stone,lib_materials:stone_brick,lib_materials:stone_block,lib_materials:stone_cobble,lib_materials:stone_cobble_small,lib_materials:stone_rockwall,lib_materials:stone_gravel,lib_materials:glass,lib_ecology:tree_default_trunk,lib_ecology:tree_default_wood,
##
sssss,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,sssss,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,S2m00,S2m00,S2m00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,S2L00,S2L00,S2L00,S2m00,S2m00,S2m00,S2m00,S2m00,S2L00,S2L00,S2L00,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,S2S20,S2S20,S2S20,S2m00,_____,_____,_____,S2m00,S2S20,S2S20,S2S20,S2m00,
S2m00,_____,_____,_____,S2m00,S2m00,S2m00,S2m00,S2m00,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,S2m00,S2m00,S2m00,S2m00,S2m00,_____,_____,_____,S2m00,
S2m00,S2L00,S2L00,S2L00,S2m00,S2m00,S2m00,S2m00,S2m00,S2L00,S2L00,S2L00,S2m00,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,S2L00,S2L00,S2L00,S2m00,S2m00,S2m00,S2m00,S2m00,S2L00,S2L00,S2L00,S2m00,
S2m00,_____,_____,_____,S2m00,S2m00,S2m00,S2m00,S2m00,_____,_____,_____,S2m00,
S2m00,S2S20,S2S20,S2S20,S2m00,S2m00,S2m00,S2m00,S2m00,S2S20,S2S20,S2S20,S2m00,
